dataset,cohort,measurement,units,n_dyslexia,n_control,U_dyslexia,p_two_sided,rank_biserial,rank_biserial_CI_low,rank_biserial_CI_high,dyslexia_median,dyslexia_Q1,dyslexia_Q3,dyslexia_IQR,control_median,control_Q1,control_Q3,control_IQR,p_Holm_4_tests
ds003126,Pediatric,pars_triangularis_mm,mm,17,18,114.5,0.20974216734580908,-0.25163398692810457,-0.6339869281045751,0.1405228758169934,2.728,2.653,2.762,0.10899999999999999,2.8055000000000003,2.68975,2.84075,0.1509999999999998,0.4819350453041529
ds003126,Pediatric,fusiform_mm,mm,17,18,148.0,0.8819143027737146,-0.0326797385620915,-0.43137254901960786,0.3594771241830066,2.848,2.813,2.94,0.12699999999999978,2.886,2.79975,2.9067499999999997,0.10699999999999976,0.8819143027737146
ds003126,Pediatric,insula_mm,mm,17,18,196.0,0.1606450151013843,0.2810457516339868,-0.10784313725490191,0.6405228758169934,3.336,3.262,3.423,0.16100000000000003,3.2560000000000002,3.183,3.33175,0.14875000000000016,0.4819350453041529
ds003126,Pediatric,network_ratio,dimensionless,17,18,89.0,0.036098844871460194,-0.4183006535947712,-0.7908496732026143,-0.019607843137254943,0.8833291854211724,0.8575685798826581,0.8927832540636644,0.03521467418100632,0.9213781006809985,0.9094435230400757,0.9384899718681725,0.029046448828096816,0.14439537948584077

