dataset,cohort,measurement,units,n_dyslexia,n_control,U_dyslexia,p_two_sided,rank_biserial,rank_biserial_CI_low,rank_biserial_CI_high,dyslexia_median,dyslexia_Q1,dyslexia_Q3,dyslexia_IQR,control_median,control_Q1,control_Q3,control_IQR,p_Holm_8_tests
ds003126,Pediatric,pars_triangularis_mm,mm,19,22,167.5,0.2837357484734083,-0.1985645933014354,-0.5454545454545454,0.1722488038277512,2.728,2.6475,2.7755,0.1280000000000001,2.7785,2.6887499999999998,2.8355,0.14675000000000038,0.8698844963410179
ds003126,Pediatric,fusiform_mm,mm,19,22,218.0,0.8241221303456205,0.04306220095693769,-0.3253588516746412,0.40669856459330145,2.858,2.8215000000000003,2.948,0.1264999999999996,2.8765,2.79975,2.9067499999999997,0.10699999999999976,0.8698844963410179
ds003126,Pediatric,insula_mm,mm,19,22,246.0,0.3398845155339989,0.17703349282296643,-0.17942583732057416,0.5287081339712918,3.325,3.2355,3.408,0.17249999999999988,3.2584999999999997,3.1965,3.379,0.1825000000000001,0.8698844963410179
ds003126,Pediatric,network_ratio,dimensionless,19,22,137.0,0.06157817184970358,-0.3444976076555024,-0.7129186602870814,0.038277511961722466,0.8833291854211724,0.8629756385485727,0.8914542224879438,0.028478583939371083,0.9176128859196331,0.8742090355820247,0.9356046474689513,0.06139561188692666,0.3694690310982215
ds005577,Adult,pars_triangularis_mm,mm,33,35,736.5,0.0517787323169986,0.2753246753246754,0.014718614718614687,0.5298701298701298,2.58,2.519,2.681,0.16199999999999992,2.528,2.4545,2.6225,0.16800000000000015,0.3624511262189902
ds005577,Adult,fusiform_mm,mm,33,35,466.0,0.17314022645933114,-0.19307359307359306,-0.47186147186147187,0.08571428571428563,2.731,2.69,2.823,0.133,2.786,2.738,2.8305,0.0924999999999998,0.8657011322966557
ds005577,Adult,insula_mm,mm,33,35,476.5,0.21747112408525449,-0.17489177489177488,-0.4458874458874459,0.10043290043290054,3.126,3.007,3.196,0.18900000000000006,3.144,3.066,3.2305,0.1645000000000003,0.8698844963410179
ds005577,Adult,network_ratio,dimensionless,33,35,825.0,0.0024382355733463305,0.4285714285714286,0.17575757575757578,0.6571428571428573,0.8805735119364412,0.861380429912477,0.9194549526390813,0.058074522726604294,0.8569189959539296,0.8356875319343926,0.8783965809562089,0.04270904902181627,0.019505884586770644

